"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-06-30","0.00",",,S","84","H,,S",,,"78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-01","0.00",",,S","85","H,,S","92",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-02","0.00",",,S","84","H,,S","91",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-03","0.07",",,S","86","H,,S","92",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-04","0.00",",,S","86","H,,S",,,"77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-06","0.00",",,S","88","H,,S","91",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-07","0.00",",,S","87","H,,S","94",",,S","77",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-08","0.00",",,S","88","H,,S","94",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-09","0.00",",,S","82","H,,S","92",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-11","1.02",",,S","83","H,,S","92",",,S",,
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-14","0.00",",,S","84","H,,S",,,"74",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-15","0.08",",,S","82","H,,S","88",",,S","75",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-16","0.20",",,S","85","H,,S","91",",,S","76",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-17","0.00",",,S","82","H,,S","88",",,S","78",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-07-18","0.20",",,S","80","H,,S","85",",,S","76",",,S"
