HCHO reading,Location,Current Date,Next Date
0.0003606924125485,Colombo Proper,2020-02-19,2020-02-20
0.000423541582134,Colombo Proper,2020-02-20,2020-02-21
,Colombo Proper,2020-02-21,2020-02-22
0.000137693889204,Colombo Proper,2020-02-22,2020-02-23
0.000269251566778,Colombo Proper,2020-02-23,2020-02-24
0.000223191232682,Colombo Proper,2020-02-24,2020-02-25
0.0002569998392544,Colombo Proper,2020-02-25,2020-02-26
0.0004184539985649,Colombo Proper,2020-02-26,2020-02-27
0.0003476997340625,Colombo Proper,2020-02-27,2020-02-28
0.000211519513137,Colombo Proper,2020-02-28,2020-02-29
0.0003134785123514,Colombo Proper,2020-02-29,2020-03-01
0.0002889810381423,Colombo Proper,2020-03-01,2020-03-02
0.0002060890148762,Colombo Proper,2020-03-02,2020-03-03
0.0002824761524587,Colombo Proper,2020-03-03,2020-03-04
,Colombo Proper,2020-03-04,2020-03-05
0.0001900671849609,Colombo Proper,2020-03-05,2020-03-06
0.0002108390146402,Colombo Proper,2020-03-06,2020-03-07
0.0002018515323925,Colombo Proper,2020-03-07,2020-03-08
0.0002378402403791,Colombo Proper,2020-03-08,2020-03-09
0.0003327486847198,Colombo Proper,2020-03-09,2020-03-10
0.0003499292466113,Colombo Proper,2020-03-10,2020-03-11
0.0003147830822962,Colombo Proper,2020-03-11,2020-03-12
0.0002215638802353,Colombo Proper,2020-03-12,2020-03-13
0.0004833935060985,Colombo Proper,2020-03-13,2020-03-14
0.0003071506905542,Colombo Proper,2020-03-14,2020-03-15
0.0002086684833428,Colombo Proper,2020-03-15,2020-03-16
0.0002902936678157,Colombo Proper,2020-03-16,2020-03-17
0.0003156514615008,Colombo Proper,2020-03-17,2020-03-18
,Colombo Proper,2020-03-18,2020-03-19
,Colombo Proper,2020-03-19,2020-03-20
,Colombo Proper,2020-03-20,2020-03-21
0.0001596298709252,Colombo Proper,2020-03-21,2020-03-22
0.0002507782280502,Colombo Proper,2020-03-22,2020-03-23
0.0003755877640102,Colombo Proper,2020-03-23,2020-03-24
0.0002191446162801,Colombo Proper,2020-03-24,2020-03-25
0.0001738920288399,Colombo Proper,2020-03-25,2020-03-26
0.0004375847842361,Colombo Proper,2020-03-26,2020-03-27
0.0002081620022439,Colombo Proper,2020-03-27,2020-03-28
0.0003352802693489,Colombo Proper,2020-03-28,2020-03-29
0.0001863390892109,Colombo Proper,2020-03-29,2020-03-30
0.0002342340060185,Colombo Proper,2020-03-30,2020-03-31
0.0001685367646813,Colombo Proper,2020-03-31,2020-04-01
0.0001582845579832,Colombo Proper,2020-04-01,2020-04-02
0.0002478837732618,Colombo Proper,2020-04-02,2020-04-03
0.0002588460179914,Colombo Proper,2020-04-03,2020-04-04
0.0001713114595895,Colombo Proper,2020-04-04,2020-04-05
,Colombo Proper,2020-04-05,2020-04-06
0.0002127745101051,Colombo Proper,2020-04-06,2020-04-07
9.38554371256366e-05,Colombo Proper,2020-04-07,2020-04-08
0.0001365360921676,Colombo Proper,2020-04-08,2020-04-09
0.0001492311110197,Colombo Proper,2020-04-09,2020-04-10
0.0001058124670207,Colombo Proper,2020-04-10,2020-04-11
0.0001740889785322,Colombo Proper,2020-04-11,2020-04-12
0.0001601075035254,Colombo Proper,2020-04-12,2020-04-13
